"","genes","estimate","p","p.adj"
"13425","WDR45B",0.260518369182867,0.666,0.927528813559322
"13426","WDR46",1.21777632030136,0.184,0.797609970674487
"13427","WDR47",0.943638264856887,0.052,0.767252306273063
"13428","WDR48",0.0633132287674176,0.935,0.985716177444273
"13429","WDR49",-0.981453471426108,0.248,0.813501374885426
"13430","WDR5",0.100397305318047,0.849,0.967521642443015
"13431","WDR53",1.01971696434841,0.273,0.824123787431464
"13432","WDR54",0.162303133756415,0.823,0.960949836867863
"13433","WDR55",-0.9228665298501,0.138,0.79117538688283
"13434","WDR59",0.216351279777617,0.63,0.917721583392694
"13435","WDR5B",-0.663773629018609,0.234,0.804831811629025
"13436","WDR6",-0.462520681656369,0.317,0.828913595933926
"13437","WDR60",-0.507608889270377,0.361,0.838849452120057
"13438","WDR61",0.605217344945111,0.555,0.897816130851664
"13439","WDR62",0.294985276822716,0.703,0.937704528512859
"13440","WDR63",-1.09779555083206,0.102,0.78961743772242
"13441","WDR66",-0.756252457611412,0.243,0.810660685154976
"13442","WDR7",0.55827256243646,0.495,0.877873392680514
"13443","WDR70",1.92507280130076,0.11,0.78961743772242
"13444","WDR73",-0.463696830710682,0.419,0.853684173071449
"13445","WDR74",0.245757759053765,0.763,0.948629158004158
"13446","WDR75",-0.864267983186149,0.0256,0.730920038535645
"13447","WDR76",-0.496290833581241,0.494,0.877873392680514
"13448","WDR77",0.580413845259381,0.187,0.797609970674487
"13449","WDR78",-0.229027176423572,0.873,0.971848121937942
"13450","WDR81",-0.979848712581543,0.1,0.78961743772242
"13451","WDR82",0.122768061308746,0.831,0.962954508791741
"13452","WDR83",-0.856374363851119,0.349,0.835440635451505
"13453","WDR83OS",-0.202383821608627,0.732,0.941133465061972
"13454","WDR86",-1.65580224477433,0.0743,0.782787103746398
"13455","WDR89",-1.04107150460005,0.109,0.78961743772242
"13456","WDR90",0.00790066891931201,0.99,0.997315270935961
"13457","WDR91",-0.258907292805008,0.593,0.906438334223171
"13458","WDR92",-0.499225733932111,0.624,0.917571648690293
"13459","WDR93",-1.56804125227502,0.0445,0.767252306273063
"13460","WDR97",-0.783899828201234,0.36,0.838849452120057
"13461","WDSUB1",-0.707177553673651,0.431,0.857984285912947
"13462","WDTC1",-0.128024766396317,0.847,0.966813252531696
"13463","WDYHV1",0.272714754557562,0.659,0.925224107493135
"13464","WEE1",-1.73354114751202,0.0119,0.730920038535645
"13465","WFDC1",0.918838671485714,0.338,0.83278313253012
"13466","WFDC10B",-0.050116302782496,0.967,0.994511459156549
"13467","WFDC2",0.0327988702808538,0.96,0.992374350086655
"13468","WFDC3",-0.603154371191878,0.316,0.828913595933926
"13469","WFDC6",-1.20859094616218,0.165,0.794227212681638
"13470","WFIKKN1",0.935469691191407,0.272,0.824123787431464
"13471","WFS1",0.15732707351539,0.687,0.932966986054454
"13472","WHAMM",-0.234713496732668,0.807,0.955833609134536
"13473","WHRN",0.0644232531266017,0.843,0.965712628040973
"13474","WIF1",1.79881178127596,0.057,0.767252306273063
