,gene_symbol,pearson,P_value
156,ACO1,-0.020867896,0.908233457
157,ACO2,0.154071985,0.391954917
158,ACOT1,-0.163319686,0.363802542
159,ACOT11,-0.072909314,0.686786361
160,ACOT12,0.209191331,0.242661997
161,ACOT13,0.16240239,0.366539993
162,ACOT2,-0.011236719,0.950512711
163,ACOT4,-0.018615351,0.918103869
164,ACOT6,0.023219695,0.897942501
165,ACOT7,-0.020554012,0.909608092
166,ACOT8,0.231037798,0.195796367
167,ACOT9,0.482294731,0.004477835
168,ACOX1,-0.320834863,0.068689649
169,ACOX2,-0.235734936,0.186607612
170,ACOX3,-0.286229035,0.106342771
171,ACOXL,0.328611185,0.061877679
172,ACP1,0.306652446,0.082606913
173,ACP2,0.050681113,0.779404715
174,ACP5,-0.493271521,0.003535693
175,ACP6,0.141375634,0.432582502
176,ACP7,0.161693663,0.368663358
177,ACPP,-0.18520359,0.30214159
178,ACR,0.060068403,0.739842787
179,ACRBP,0.089597112,0.620000501
180,ACRV1,0.062665793,0.72900618
181,ACSBG1,-0.243109063,0.172800206
182,ACSBG2,0.028433077,0.875190325
183,ACSF2,-0.338689537,0.053852741
184,ACSF3,-0.256257432,0.150011772
185,ACSL1,0.17437102,0.331785289
186,ACSL3,0.160427731,0.372474178
187,ACSL4,0.025124111,0.889621059
188,ACSL5,0.214456878,0.230736502
189,ACSL6,0.308094583,0.081099751
190,ACSM1,-0.330461756,0.060337671
191,ACSM3,-0.015741497,0.930714039
192,ACSM4,0.114877665,0.524392343
193,ACSM5,0.164350807,0.360739963
194,ACSS1,0.125864219,0.485215249
195,ACSS2,0.018522325,0.918511768
196,ACSS3,-0.267874724,0.131762601
197,ACTA1,0.117819379,0.513753647
198,ACTA2,0.109007824,0.545936158
199,ACTB,-0.206435781,0.249064124
200,ACTBL2,-0.263049227,0.139133051
201,ACTC1,0.089809901,0.619166454
202,ACTG1,-0.282570797,0.111088207
203,ACTG2,-0.074957057,0.678451916
204,ACTL10,0.271319548,0.126679772
205,ACTL6A,0.108008969,0.549643281
206,ACTL6B,0.016557762,0.927130539
207,ACTL7B,-0.072876107,0.686921818
208,ACTL8,0.247828805,0.164353414
209,ACTN1,0.165263575,0.358041784
210,ACTN2,-0.011558849,0.949095834
211,ACTN3,-0.053137761,0.768994311
212,ACTN4,-0.229179132,0.199517965
213,ACTR10,0.023022671,0.898804033
214,ACTR1A,-0.062912383,0.72798001
215,ACTR1B,0.223755186,0.21065821
216,ACTR2,0.046906994,0.795471055
217,ACTR3,0.051508454,0.775894438
218,ACTR3B,0.0466025,0.796770977
219,ACTR3C,0.15809116,0.379568576
220,ACTR5,-0.097694075,0.588599215
221,ACTR6,0.165108275,0.358500003
222,ACTR8,0.063737208,0.724550931
223,ACTRT1,-0.028202508,0.876194635
224,ACTRT3,0.243547602,0.172002615
225,ACVR1,0.018117615,0.920286565
226,ACVR1B,0.242254145,0.174362635
227,ACVR1C,0.201797114,0.260092858
228,ACVR2A,0.156782924,0.383574947
229,ACVR2B,0.06990597,0.699075682
230,ACVRL1,0.047914512,0.791173707
231,ACY1,-0.200747966,0.262631129
232,ACY3,-0.133231964,0.459813944
233,ACYP1,0.238028197,0.182233244
234,ACYP2,0.222698655,0.212877016
235,ADA,0.04150597,0.818605682
236,ADA2,-0.15025083,0.403944258
237,ADAD1,0.144764106,0.421519216
238,ADAD2,0.086987331,0.630267361
239,ADAL,0.079782862,0.658959343
240,ADAM10,-0.081721895,0.651187858
241,ADAM11,0.255292078,0.151606698
242,ADAM12,-0.069193573,0.702001897
243,ADAM15,-0.090147126,0.617845621
244,ADAM17,-0.017941354,0.921059652
245,ADAM18,0.055893734,0.757362499
246,ADAM19,0.38922747,0.025166051
247,ADAM2,-0.044580353,0.805417209
248,ADAM20,0.110031996,0.542147357
249,ADAM21,-0.064016608,0.723390557
250,ADAM22,0.198096056,0.269119348
251,ADAM23,0.188135899,0.294415101
252,ADAM28,-0.012103833,0.946699093
253,ADAM29,-0.080395334,0.656500772
254,ADAM30,0.072165985,0.689820797
255,ADAM32,-0.08871539,0.623461445
256,ADAM33,0.050973519,0.778163589
257,ADAM7,0.001520164,0.99330108
258,ADAM8,0.238362637,0.181601398
259,ADAM9,-0.164968031,0.358914098
260,ADAMDEC1,0.144580465,0.422114722
261,ADAMTS1,-0.053601981,0.767031488
262,ADAMTS10,-0.44590286,0.009300288
